"","i","file_name","behaviour","behaviour_sub","in_validation_set","multimedia_id","path","deployment_id","sequence_id","location_name","timestamp"
"11",11,"055fa417-db39-401d-ac8c-6ff6be31167a.jpg","f","gra",FALSE,"055fa417-db39-401d-ac8c-6ff6be31167a","https://multimedia.agouti.eu/assets/055fa417-db39-401d-ac8c-6ff6be31167a/file","da6d60ce-e7cd-42b8-9aba-bb2c7663a511","e9049af8-ed2b-4127-ab32-eeab8eb8687b","H5R0-03",2018-01-03 23:26:33
"12",12,"05b3272c-a1e5-4135-9aad-35f865d639a0.jpg","f","sc",FALSE,"05b3272c-a1e5-4135-9aad-35f865d639a0","https://multimedia.agouti.eu/assets/05b3272c-a1e5-4135-9aad-35f865d639a0/file","2b6eff6f-f91b-488d-b3ae-64bea5082162","b72b031a-fd98-40ec-892d-6df1e55e7437","H4R1-02",2017-09-23 10:26:51
"13",13,"05e7e054-eaaf-4d86-8fd0-a3f7356e96a4.jpg","o","st",FALSE,"05e7e054-eaaf-4d86-8fd0-a3f7356e96a4","https://multimedia.agouti.eu/assets/05e7e054-eaaf-4d86-8fd0-a3f7356e96a4/file","13fd925a-9373-4209-b1c0-9c915fb0adb4","724fd7b0-1714-43ee-a685-8ce66f602aed","H3R0-01",2017-04-24 18:51:14
"14",14,"066723a3-950a-4f84-b4fe-655e261f53f7.jpg","m","ru",FALSE,"066723a3-950a-4f84-b4fe-655e261f53f7","https://multimedia.agouti.eu/assets/066723a3-950a-4f84-b4fe-655e261f53f7/file","98ff0965-bf54-4892-91e7-43070e19e7c4","043ec982-32cf-4782-bcdc-cae0e75a4a85","H3R0-02",2017-09-25 17:19:37
"15",15,"0735438b-f504-4deb-9902-4830aadace00.jpg","m","w",FALSE,"0735438b-f504-4deb-9902-4830aadace00","https://multimedia.agouti.eu/assets/0735438b-f504-4deb-9902-4830aadace00/file","c5b0803b-9637-4609-87df-2e91deb7b942","916b5204-fbf9-4c76-8bff-513e9b060594","H3R1-04",2017-10-15 06:23:27
"16",16,"076385a0-4c7f-4285-af08-42bccef3e33b.jpg","f","gra",FALSE,"076385a0-4c7f-4285-af08-42bccef3e33b","https://multimedia.agouti.eu/assets/076385a0-4c7f-4285-af08-42bccef3e33b/file","c5b0803b-9637-4609-87df-2e91deb7b942","e8d5738a-fd2d-4262-af37-9a15d23ee5ef","H3R1-04",2017-10-13 17:32:22
"17",17,"078e200b-e636-48c8-93ff-136e682f150a.jpg","m","ru",FALSE,"078e200b-e636-48c8-93ff-136e682f150a","https://multimedia.agouti.eu/assets/078e200b-e636-48c8-93ff-136e682f150a/file","51141b6a-f446-4578-b9a1-b12031eb82d1","ea769afa-2b51-434d-baf1-c4b7a80ed397","H4R1-04",2018-05-17 11:32:35
"18",18,"07fe4956-8048-4fed-a3cb-fd89bcf415f6.jpg","o","st",FALSE,"07fe4956-8048-4fed-a3cb-fd89bcf415f6","https://multimedia.agouti.eu/assets/07fe4956-8048-4fed-a3cb-fd89bcf415f6/file","2b6eff6f-f91b-488d-b3ae-64bea5082162","c645a3e3-3d92-435c-a9fc-877aa6c5c409","H4R1-02",2017-10-12 13:59:28
"19",19,"09d1d1f8-04e2-4fc4-9993-e7b784135475.jpg","f","sc",FALSE,"09d1d1f8-04e2-4fc4-9993-e7b784135475","https://multimedia.agouti.eu/assets/09d1d1f8-04e2-4fc4-9993-e7b784135475/file","4ce25fce-98c2-466e-9cea-3f840f75194d","d1654cb7-f1ef-4747-9a0c-57ba4e3a3dc7","OB-H5-04",2018-08-22 06:11:53
"20",20,"0a559cbf-7832-4d0b-b5e1-3237f234c9e3.jpg","f","gra",FALSE,"0a559cbf-7832-4d0b-b5e1-3237f234c9e3","https://multimedia.agouti.eu/assets/0a559cbf-7832-4d0b-b5e1-3237f234c9e3/file","b85339aa-94a1-4710-91bc-45e988a9a5a7","cb16090b-06a1-434a-9da9-1ffddfe99bbe","H2R0-05",2016-03-30 20:20:20
"21",21,"0b0fe053-13d2-4e16-a5eb-51052d0dd69e.jpg","o","gro",FALSE,"0b0fe053-13d2-4e16-a5eb-51052d0dd69e","https://multimedia.agouti.eu/assets/0b0fe053-13d2-4e16-a5eb-51052d0dd69e/file","51bbdfa5-6c97-4fc1-9fcb-5d9a09e651b7","464eed00-1b15-46f8-80f9-be2f57e0080c","H5R0-03",2017-04-22 06:24:37
"22",22,"0b7757ae-66f9-45f8-a0a0-5e93f3fed410.jpg","f","gra",FALSE,"0b7757ae-66f9-45f8-a0a0-5e93f3fed410","https://multimedia.agouti.eu/assets/0b7757ae-66f9-45f8-a0a0-5e93f3fed410/file","814240aa-ee18-4123-9625-cfbd9de37b1c","af56e74c-6e6f-4859-adc7-d9acd484c3f6","OB-H1-05",2017-09-05 18:14:15
"23",23,"0b839272-b445-4072-9f84-9bd30faca4f6.jpg","m","w",FALSE,"0b839272-b445-4072-9f84-9bd30faca4f6","https://multimedia.agouti.eu/assets/0b839272-b445-4072-9f84-9bd30faca4f6/file","5a900a1d-4795-4784-bc14-c48538070684","e88fe5fb-a3eb-4023-b4a6-0cede406f4b3","H2R0-03",2017-10-12 13:08:53
"24",24,"0c205a96-8c3b-4f3e-ad60-6985202a252f.jpg","f","gra",FALSE,"0c205a96-8c3b-4f3e-ad60-6985202a252f","https://multimedia.agouti.eu/assets/0c205a96-8c3b-4f3e-ad60-6985202a252f/file","9fc39444-b500-4e47-9610-217d61be0bfc","ee25dd2d-faca-426e-8a8f-2d4ff371d0fb","OB-H5-01",2018-11-26 18:42:54
"25",25,"0c3746b0-1ac5-4f19-ab4e-2cec2d42b176.jpg","m","w",FALSE,"0c3746b0-1ac5-4f19-ab4e-2cec2d42b176","https://multimedia.agouti.eu/assets/0c3746b0-1ac5-4f19-ab4e-2cec2d42b176/file","de821aff-983c-46f9-b068-4d63bafb2566","2bc52ceb-9d03-47e9-a7e7-2f2385bed8d8","H1R0-02",2018-09-27 19:21:10
"26",26,"0c908587-d9af-43e0-9a8b-d3628ae54f34.jpg","o","gro",FALSE,"0c908587-d9af-43e0-9a8b-d3628ae54f34","https://multimedia.agouti.eu/assets/0c908587-d9af-43e0-9a8b-d3628ae54f34/file","fd5a3fcb-87c2-4d25-a30f-1f394fa575c7","1bcb9e7b-b350-4d95-9a37-ee39c6a786c7","H5R0-03",2018-12-20 14:40:05
"27",27,"0c954a31-6c63-4be0-8708-122ac76f12d3.jpg","o","gro",FALSE,"0c954a31-6c63-4be0-8708-122ac76f12d3","https://multimedia.agouti.eu/assets/0c954a31-6c63-4be0-8708-122ac76f12d3/file","51bbdfa5-6c97-4fc1-9fcb-5d9a09e651b7","5ddb2f48-5c58-436f-92cc-4ebc9082f7bf","H5R0-03",2017-04-22 06:35:00
"28",28,"0d19517d-7789-4bab-93c0-35f2776a946c.jpg","m","w",FALSE,"0d19517d-7789-4bab-93c0-35f2776a946c","https://multimedia.agouti.eu/assets/0d19517d-7789-4bab-93c0-35f2776a946c/file","121dee07-702b-4660-a694-95a18d6dbca7","ac0af4c5-d513-4d33-867a-bb09aaf85435","H2R0-02-V12",2018-07-27 02:48:18
"29",29,"0d307d81-96b9-4572-b36a-9c4fc7685aef.jpg","m","w",FALSE,"0d307d81-96b9-4572-b36a-9c4fc7685aef","https://multimedia.agouti.eu/assets/0d307d81-96b9-4572-b36a-9c4fc7685aef/file","2408e542-1014-439c-98c2-c53edd7fbc96","daec6978-16f3-4494-a588-3c37ee322678","H6R1-05",2017-09-05 19:47:04
"30",30,"0dfa134f-7e11-4f99-bd4f-3328a404ba11.jpg","o","v",FALSE,"0dfa134f-7e11-4f99-bd4f-3328a404ba11","https://multimedia.agouti.eu/assets/0dfa134f-7e11-4f99-bd4f-3328a404ba11/file","370952e9-60a2-495f-ae70-2ae034b18aaf","d41bedae-ece1-4977-8b65-f8ae76a17280","H6R0-02",2017-09-01 19:11:02
"31",31,"0e409bcd-2b14-414f-88fc-2f0361c342a1.jpg","m","ru",FALSE,"0e409bcd-2b14-414f-88fc-2f0361c342a1","https://multimedia.agouti.eu/assets/0e409bcd-2b14-414f-88fc-2f0361c342a1/file","171a3803-7647-4681-bd82-b611bbfa90ee","73092ca0-0e5e-4643-a3b3-476f20f2f10a","OB-H5-01",2017-09-18 16:18:38
"32",32,"0f0012f5-0ee8-400d-ad88-0769235689a0.jpg","m","w",FALSE,"0f0012f5-0ee8-400d-ad88-0769235689a0","https://multimedia.agouti.eu/assets/0f0012f5-0ee8-400d-ad88-0769235689a0/file","0d2a0cee-cbe4-4174-b015-2c61592b4697","5df81f6f-5416-4f39-b8ea-78386e9bbe40","OB-H1-05",2018-03-31 18:35:46
"33",33,"0f44596b-745c-43a2-843c-81c97cb89c97.jpg","f","gra",FALSE,"0f44596b-745c-43a2-843c-81c97cb89c97","https://multimedia.agouti.eu/assets/0f44596b-745c-43a2-843c-81c97cb89c97/file","19d13a0e-3082-4776-a2ff-69a2f60729e8","97fbf36d-6fbb-41b1-abe0-d1e6f0930d25","H6R0-01",2018-08-21 17:27:54
"34",34,"0fffc7a3-3813-4d14-9702-2569d7833a0f.jpg","o","v",FALSE,"0fffc7a3-3813-4d14-9702-2569d7833a0f","https://multimedia.agouti.eu/assets/0fffc7a3-3813-4d14-9702-2569d7833a0f/file","1b144fe8-607e-4b6e-9ac2-3617c0871377","80779f6b-41d1-413d-aac9-6f43b6d14a86","OB-H5-03",2017-09-05 12:25:18
"35",35,"10bdca9c-5c09-4934-8e60-4062a7882177.jpg","f","b",FALSE,"10bdca9c-5c09-4934-8e60-4062a7882177","https://multimedia.agouti.eu/assets/10bdca9c-5c09-4934-8e60-4062a7882177/file","2ae88bf5-9dba-432f-9471-2a6bd241e5c7","96384c94-5e5c-4e8c-be5c-b7a2c37fcf36","OB-H4-02",2018-08-16 00:53:02
"36",36,"11f79cf2-58fa-48f3-9499-84e55e3a4524.jpg","f","gra",FALSE,"11f79cf2-58fa-48f3-9499-84e55e3a4524","https://multimedia.agouti.eu/assets/11f79cf2-58fa-48f3-9499-84e55e3a4524/file","e1959517-e17c-4c0d-a1f4-3e9cc43254bd","4c9709e1-1739-41a6-9359-5ad30c59786b","H6R1-04",2018-10-18 00:13:13
"37",37,"123d30be-161c-4c50-9d65-83276b2cba1c.jpg","m","ru",FALSE,"123d30be-161c-4c50-9d65-83276b2cba1c","https://multimedia.agouti.eu/assets/123d30be-161c-4c50-9d65-83276b2cba1c/file","68892751-e4a1-4856-a5c7-23b66ef99023","f483d8b2-c271-4d50-9ce8-e44a51f227ac","OB-H5-02",2017-09-21 07:20:35
"38",38,"1314eacb-2ec4-4b77-980b-d6b28dc4e860.jpg","o","st",FALSE,"1314eacb-2ec4-4b77-980b-d6b28dc4e860","https://multimedia.agouti.eu/assets/1314eacb-2ec4-4b77-980b-d6b28dc4e860/file","68892751-e4a1-4856-a5c7-23b66ef99023","77ba04bf-f620-41c7-8e95-902a653c0a87","OB-H5-02",2017-09-24 20:34:07
"39",39,"1387661a-d7c0-4a44-a315-6726998bddc4.jpg","o","v",FALSE,"1387661a-d7c0-4a44-a315-6726998bddc4","https://multimedia.agouti.eu/assets/1387661a-d7c0-4a44-a315-6726998bddc4/file","0766c070-307e-412a-a917-1ffed5699d8c","493807bc-6606-48b1-a693-4f6b5d94cb55","V08",2016-05-15 22:36:51
"40",40,"143e0dbe-29ef-492e-881f-ec9957dc738d.jpg","o","c",FALSE,"143e0dbe-29ef-492e-881f-ec9957dc738d","https://multimedia.agouti.eu/assets/143e0dbe-29ef-492e-881f-ec9957dc738d/file","bb9aa99f-5460-4f15-8ab9-33d0f25f4b81","48ed15e0-e408-4e87-aab3-5a22ed30e645","V01",2018-07-06 21:50:38
"41",41,"1482bde2-b7e3-421d-a1b7-fda6ae7eb253.jpg","m","w",FALSE,"1482bde2-b7e3-421d-a1b7-fda6ae7eb253","https://multimedia.agouti.eu/assets/1482bde2-b7e3-421d-a1b7-fda6ae7eb253/file","0d7951fc-86d6-4286-993c-0e9eee5d8ed5","7a2aad0e-8e2d-42e0-8f0f-d1fa02fa6d77","OB-H4-01",2018-05-20 21:14:27
"42",42,"14c7bb2c-f00f-46ab-ac06-74bb9b140959.jpg","o","v",FALSE,"14c7bb2c-f00f-46ab-ac06-74bb9b140959","https://multimedia.agouti.eu/assets/14c7bb2c-f00f-46ab-ac06-74bb9b140959/file","8d7fd30f-7682-4f41-b3ba-e0b4d5366fe5","2392242c-9a41-4015-85e4-2334508b2c91","H4R0-03",2016-05-18 17:13:10
"43",43,"1870efc8-6d2e-469e-a97b-829828e5ea2b.jpg","o","st",FALSE,"1870efc8-6d2e-469e-a97b-829828e5ea2b","https://multimedia.agouti.eu/assets/1870efc8-6d2e-469e-a97b-829828e5ea2b/file","49ee3c97-2964-43f4-9f52-aa145be04870","bc50f709-5680-4178-a88c-71426cf9ab1f","OB-H5-05",2018-07-20 18:11:50
"44",44,"1a43be3b-6d39-410b-a971-66d22ae24233.jpg","o","v",FALSE,"1a43be3b-6d39-410b-a971-66d22ae24233","https://multimedia.agouti.eu/assets/1a43be3b-6d39-410b-a971-66d22ae24233/file","880a61dd-cca4-4a1d-bcb0-4d68f8c381b5","7acfd334-8e41-412a-852e-a9bac42b8ca3","H5R0-03",2016-05-14 11:26:10
"45",45,"1b0fa3a5-c5fd-4127-b7db-5a7af4e722fe.jpg","o","gro",FALSE,"1b0fa3a5-c5fd-4127-b7db-5a7af4e722fe","https://multimedia.agouti.eu/assets/1b0fa3a5-c5fd-4127-b7db-5a7af4e722fe/file","d20296bd-397d-4bef-86db-2f76d2538694","8c73656f-c40f-488b-9df4-21fbc477ddc7","H6R1-02",2017-05-09 06:19:38
"46",46,"1bcb03fc-0975-4e0a-bafe-b1a130fc5a9e.jpg","f","gra",FALSE,"1bcb03fc-0975-4e0a-bafe-b1a130fc5a9e","https://multimedia.agouti.eu/assets/1bcb03fc-0975-4e0a-bafe-b1a130fc5a9e/file","2cc8d313-ba9c-43c6-b5d0-f254f906f2d5","40d84780-84c0-4ff6-a2f3-5c28e2c9f992","OB-H4-05",2017-10-10 18:19:22
"47",47,"1c083655-3fc0-4c48-aa7f-41bd799aa7a7.jpg","f","gra",FALSE,"1c083655-3fc0-4c48-aa7f-41bd799aa7a7","https://multimedia.agouti.eu/assets/1c083655-3fc0-4c48-aa7f-41bd799aa7a7/file","b2850d9d-a664-4707-9a15-b0ec358fd443","b2cc6694-0cde-4796-8a0d-4024b145f8a4","H5R0-02",2018-05-18 05:58:59
"48",48,"1d1ebc99-6826-41a5-a18c-b6f9d96792a2.jpg","f","gra",FALSE,"1d1ebc99-6826-41a5-a18c-b6f9d96792a2","https://multimedia.agouti.eu/assets/1d1ebc99-6826-41a5-a18c-b6f9d96792a2/file","a58c266e-d119-4c7b-8eb4-39206bbbbaef","8373caa6-57e0-4010-a652-2df3d8e14fe5","V08",2018-05-19 00:19:31
"49",49,"1d5ea7bf-bbbd-4193-be99-2f16b07a1717.jpg","f","gra",FALSE,"1d5ea7bf-bbbd-4193-be99-2f16b07a1717","https://multimedia.agouti.eu/assets/1d5ea7bf-bbbd-4193-be99-2f16b07a1717/file","68892751-e4a1-4856-a5c7-23b66ef99023","900e5e6f-120f-456f-8241-331793148ed5","OB-H5-02",2017-09-04 15:30:42
"50",50,"1dc8ed62-348d-4bf0-a8ec-85068352cb2b.jpg","f","sc",FALSE,"1dc8ed62-348d-4bf0-a8ec-85068352cb2b","https://multimedia.agouti.eu/assets/1dc8ed62-348d-4bf0-a8ec-85068352cb2b/file","f996a6be-66fa-4437-ab4f-52816a4a0842","9b68d185-02f3-4ccb-b2a2-7df0260127b5","H4R1-04",2017-04-29 13:34:01
"51",51,"1df23640-2490-4789-a71c-cd78d0b35025.jpg","f","gra",FALSE,"1df23640-2490-4789-a71c-cd78d0b35025","https://multimedia.agouti.eu/assets/1df23640-2490-4789-a71c-cd78d0b35025/file","3e94c2dd-4dc3-4f2c-8309-4bd75cb67b12","7c992475-b930-4824-941b-6fab007de7cb","H6R0-03-V07",2016-03-30 20:12:52
"52",52,"1f7dd186-5640-4f71-94c5-e14c09f15527.jpg","m","w",FALSE,"1f7dd186-5640-4f71-94c5-e14c09f15527","https://multimedia.agouti.eu/assets/1f7dd186-5640-4f71-94c5-e14c09f15527/file","51bbdfa5-6c97-4fc1-9fcb-5d9a09e651b7","09f09051-e4b8-47c0-b2f9-d776fde34da5","H5R0-03",2017-05-04 01:20:21
"53",53,"1fc09c82-683d-4f61-85c5-b78abca6e726.jpg","f","sc",FALSE,"1fc09c82-683d-4f61-85c5-b78abca6e726","https://multimedia.agouti.eu/assets/1fc09c82-683d-4f61-85c5-b78abca6e726/file","ec9a384f-b5ff-4c9f-b2db-b2f5dbac18cf","8ca4c293-f85b-413b-879e-c88f7b348c88","OB-H5-05",2017-05-10 20:14:26
"54",54,"2018c047-d614-40d9-b459-f08148bb7d95.jpg","m","w",FALSE,"2018c047-d614-40d9-b459-f08148bb7d95","https://multimedia.agouti.eu/assets/2018c047-d614-40d9-b459-f08148bb7d95/file","340a7067-869f-468d-aa79-b7fe89123be3","ca281b11-ac87-4600-af0e-fd80ba162d1f","H4R0-03",2017-04-25 10:09:15
"55",55,"203c94f5-ae0c-4c09-a929-6f7eb509561e.jpg","f","gra",FALSE,"203c94f5-ae0c-4c09-a929-6f7eb509561e","https://multimedia.agouti.eu/assets/203c94f5-ae0c-4c09-a929-6f7eb509561e/file","f29ed003-b62d-47a0-b66a-3ea911d7b436","c00d9484-b4c5-483e-a606-3f7b1b58a809","H4R0-04",2017-05-09 20:47:36
"56",56,"2183b532-6e09-46ae-a475-d41005416c31.jpg","o","v",FALSE,"2183b532-6e09-46ae-a475-d41005416c31","https://multimedia.agouti.eu/assets/2183b532-6e09-46ae-a475-d41005416c31/file","badbfc1d-0e66-4b29-b41d-5eaa15ef2206","f0969ea5-3809-415a-8422-3709c456706f","H4R1-04",2016-04-29 14:07:49
"57",57,"21b5c2fe-d207-4c87-acbf-aaca4cf50c9c.jpg","o","si",FALSE,"21b5c2fe-d207-4c87-acbf-aaca4cf50c9c","https://multimedia.agouti.eu/assets/21b5c2fe-d207-4c87-acbf-aaca4cf50c9c/file","0702bb1c-dd1c-4649-8480-64fba79b5df6","aae6a77f-904a-43c4-9442-56e00945f868","H6R0-02",2016-04-30 21:20:25
"58",58,"21f98d75-011f-4216-9902-9ddb1cfd49e6.jpg","o","v",FALSE,"21f98d75-011f-4216-9902-9ddb1cfd49e6","https://multimedia.agouti.eu/assets/21f98d75-011f-4216-9902-9ddb1cfd49e6/file","0391b473-9aeb-4a6d-8a84-28e333cd2759","be184b24-1cc7-4088-9d51-ff5d89bf2e88","V01",2017-10-07 03:57:19
"59",59,"221ac956-7e3a-4904-85d2-394311f0bf61.jpg","o","ro",FALSE,"221ac956-7e3a-4904-85d2-394311f0bf61","https://multimedia.agouti.eu/assets/221ac956-7e3a-4904-85d2-394311f0bf61/file","1f294403-80d3-45d4-a5d1-590008d62848","51c2a54b-cc36-4a82-bcd6-f542695ca80e","H6R1-03",2017-09-22 22:33:16
"60",60,"225d26ed-36e6-42dd-846d-05360149e60d.jpg","m","w",FALSE,"225d26ed-36e6-42dd-846d-05360149e60d","https://multimedia.agouti.eu/assets/225d26ed-36e6-42dd-846d-05360149e60d/file","33592ba6-671a-420f-9050-93c1b76a8807","4fc3fc89-4c3f-42cf-ad35-12d30d0eedc9","H4R1-04",2017-09-14 09:10:32
"61",61,"24cb2afa-2122-4fe4-960e-5aee20b1f9f2.jpg","m","w",FALSE,"24cb2afa-2122-4fe4-960e-5aee20b1f9f2","https://multimedia.agouti.eu/assets/24cb2afa-2122-4fe4-960e-5aee20b1f9f2/file","1b144fe8-607e-4b6e-9ac2-3617c0871377","d9c127fc-0325-45f6-a8c0-4ee8ea4488b4","OB-H5-03",2017-09-10 04:15:21
"62",62,"24f2aefb-dcb2-44ee-bc33-c8182e27af0a.jpg","f","sc",FALSE,"24f2aefb-dcb2-44ee-bc33-c8182e27af0a","https://multimedia.agouti.eu/assets/24f2aefb-dcb2-44ee-bc33-c8182e27af0a/file","2cc8d313-ba9c-43c6-b5d0-f254f906f2d5","57a9ea6c-e445-4893-93a8-0a26a54c1dee","OB-H4-05",2017-09-24 20:33:20
"63",63,"24f4c842-88de-4d68-aac3-b75c72e46a27.jpg","m","w",FALSE,"24f4c842-88de-4d68-aac3-b75c72e46a27","https://multimedia.agouti.eu/assets/24f4c842-88de-4d68-aac3-b75c72e46a27/file","171a3803-7647-4681-bd82-b611bbfa90ee","743b0006-41a3-48e2-9ba8-3a8a5bbad536","OB-H5-01",2017-10-12 15:48:31
"64",64,"26a16fde-5342-4c22-93fe-973608816821.jpg","o","st",FALSE,"26a16fde-5342-4c22-93fe-973608816821","https://multimedia.agouti.eu/assets/26a16fde-5342-4c22-93fe-973608816821/file","c643069b-5244-4277-b646-f1c8399b4fa4","e5c01aea-b67c-4321-bf1e-1c9942791af1","H5R1-04",2016-05-07 18:32:56
"65",65,"272f5bfb-cfb0-4373-9bbb-5746aaa749df.jpg","f","gra",FALSE,"272f5bfb-cfb0-4373-9bbb-5746aaa749df","https://multimedia.agouti.eu/assets/272f5bfb-cfb0-4373-9bbb-5746aaa749df/file","d3c78444-6f64-4582-9d84-c9419cb622bd","21217947-2e55-4228-8d0c-e74407cf605a","H6R1-05",2016-03-17 18:41:32
"66",66,"2734c52d-942c-4b17-9de8-719b6c2cf4fd.jpg","f","sc",FALSE,"2734c52d-942c-4b17-9de8-719b6c2cf4fd","https://multimedia.agouti.eu/assets/2734c52d-942c-4b17-9de8-719b6c2cf4fd/file","c8a80275-960d-4e75-92a4-417cde021ca1","79daeee3-5bc4-4ae6-ba68-e208443f49b8","H4R1-02",2018-10-02 12:12:10
"67",67,"274bb8c8-d3e2-4c30-aef2-7147013be4dc.jpg","f","gra",FALSE,"274bb8c8-d3e2-4c30-aef2-7147013be4dc","https://multimedia.agouti.eu/assets/274bb8c8-d3e2-4c30-aef2-7147013be4dc/file","f996a6be-66fa-4437-ab4f-52816a4a0842","a4129dff-8232-4ca1-b537-e292bee8af0f","H4R1-04",2017-05-14 07:30:39
"68",68,"281227b6-a089-414e-b3f5-565cb077ede5.jpg","m","ru",FALSE,"281227b6-a089-414e-b3f5-565cb077ede5","https://multimedia.agouti.eu/assets/281227b6-a089-414e-b3f5-565cb077ede5/file","4ce25fce-98c2-466e-9cea-3f840f75194d","a0b24db1-5ec2-4dbe-a6d8-e683d8a10c1e","OB-H5-04",2018-08-11 15:48:29
"69",69,"2a4bc109-ff8a-4295-8ec9-87e289a9d9b1.jpg","o","c",FALSE,"2a4bc109-ff8a-4295-8ec9-87e289a9d9b1","https://multimedia.agouti.eu/assets/2a4bc109-ff8a-4295-8ec9-87e289a9d9b1/file","a5c923b3-f8f2-45ff-b0f1-8b2245b516d7","08cb6140-9567-4ab0-99f4-22430a9bf5c1","OB-H5-04",2017-09-18 20:05:05
"70",70,"2a836093-4bcc-40cb-9020-48fe0dedb3eb.jpg","f","gra",FALSE,"2a836093-4bcc-40cb-9020-48fe0dedb3eb","https://multimedia.agouti.eu/assets/2a836093-4bcc-40cb-9020-48fe0dedb3eb/file","7dc6d37a-93c0-4a6a-abf8-143d46b9f31b","b6a3e665-e730-4aa2-9df2-6893aba5885f","H5R0-02",2016-04-09 16:48:40
"71",71,"2a98549c-f429-48d8-9455-52843a883107.jpg","f","gra",FALSE,"2a98549c-f429-48d8-9455-52843a883107","https://multimedia.agouti.eu/assets/2a98549c-f429-48d8-9455-52843a883107/file","86e31c53-5a6d-4c8d-9eee-d2011cdded5e","bb1b887b-f15c-4517-a4e0-e260c4823225","H6R1-02",2018-04-13 22:50:38
